type,detail,comment,raw_code,label
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"If we encounter this exception, what happens to the server who is waiting for a response? We should return FAILED response to the server.
","      throw new RuntimeException(""Exception extracting and reading segment metadata for "" + segmentNameStr, e);",1
Static non-final field names should comply with a naming convention,"Rename this field ""MAX_DUMP_STACK_DEPTH"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",`MAX_DUMP_STACK_DEPTH` -> `DUMP_MAX_STACK_DEPTH`,        public static int MAX_DUMP_STACK_DEPTH = 500;,1
Methods should not be empty,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",could we remove `validateFilesInPartition` ?,"  private void validateFilesInPartition(HoodieTableFileSystemView metaFsView, HoodieTableFileSystemView fsView, String partitionPath) {",1
Unused local variables should be removed,"Remove this unused ""data"" local variable.","Very interesting. I can see how the previous code would leave watches around. This is a very big change though. I'll run the tests with it and think about edge cases.
",                            byte[] data = client.getData().usingWatcher(watcher).forPath(previousSequencePath);,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"What the hell is this =)
I know it's not yours, we should link a JIRA issue here as well",        // TODO this constant is used because currently we cannot reuse data pages as index pages,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Error in executing plan node: {}"" 6 times.","      LOGGER.warn(""Error in executing plan node: {}"", node, e);","      LOGGER.error(""Error in executing plan node: {}"", node, e);",0
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""scanSpec"" is nullable here.","Looks like `scanSpec` is required field for this class and it is used everywhere in the class, but never checked for the `null` value. So it looks like a redundant check.",    if (scanSpec == null) {,1
"Unused ""private"" fields should be removed","Remove this unused ""expiredSeconds"" private field.",make it configurable maybe is better ,    private Long expiredSeconds = 24 * 60 * 60 * 1000L;,0
"Non-primitive fields should not be ""volatile""","Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe.",Please add a comment describing what HybridClock is and why it is needed in the Raft engine,    private volatile HybridClock clock;,0
"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",Replace this if-then-else statement by a single return statement.,"We can estimate the number of resources we need to be ""done"" _once_ and compare against it.",      if ((double)(_numTotalResourcesToMonitor - _resourcesToMonitor.size())*100/_numTotalResourcesToMonitor,0
"Unused ""private"" fields should be removed","Remove this unused ""SEGMENT_VALIDATION_INITIAL_DELAY_IN_SECONDS"" private field.",should this be called REALTIME_SEGMENT_VALIDATION_INITIAL_DELAY_IN_SECONDS to match other variable conventions(like REALTIME_SEGMENT_VALIDATION_FREQUENCY_IN_SECONDS),    private static final String SEGMENT_VALIDATION_INITIAL_DELAY_IN_SECONDS =,0
Static non-final field names should comply with a naming convention,"Rename this field ""TRACE_SQL_PARAMETERS"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Default to `false`,            public static boolean TRACE_SQL_PARAMETERS = true;,0
Deprecated code should be removed,Do not forget to remove this deprecated code someday.,"You can move all deprecated constants to `Stats`, and remove `Stats.` in front of all constant names.
IDEA's `Move Members` can do it quickly",    @Deprecated public static final String QUEUE_PUT_NUMS = Stats.QUEUE_PUT_NUMS;,1
Nested blocks of code should not be left empty,Either remove or fill this block of code.,"I think we should not be catching exceptions here mainly because JSON_PARSER_CONTEXT has been declared to suppress exceptions already:

  private static final ParseContext JSON_PARSER_CONTEXT =
      JsonPath.using(Configuration.defaultConfiguration().addOptions(Option.SUPPRESS_EXCEPTIONS));
If for some reason, it does throw exception even with SUPPRESS_EXCEPTIONS option turned on, then we would like to know about that (as that would be a bug). Is there a specific case that you encountered that made caching exception here necessary?",      } catch (Exception ignored) {,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal "" not specified"" 3 times.","Oh, IIRC I've asked this before. What will happen if we do not specify the location? The problem will go to the OS default location? Maybe you have already answered but I can not find the comments.

Anyway, can also be a follow on issue.","      LOG.warn(TLS_CONFIG_TRUSTSTORE_LOCATION + "" not specified"");",0
Class variable fields should not have public accessibility,Make properties a static final constant or non-public and provide accessors if needed.,"If the variable name is changed, the serialized JSON will change.
Is there some method to seprate the variable name and serialized field name?",    public EtlJobProperty properties;,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""IGNITE_QUERY_CONTEXT"" 3 times.",QCTX_VARIABLE_NAME ?,"        return (QueryContext)ses.getVariable(""IGNITE_QUERY_CONTEXT"").getObject();",0
Constant names should comply with a naming convention,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,add some annotations,"    NoPartition, InPartition, PrevPartition",0
Lambdas containing only one statement should not nest this statement in a block,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),Would it be possible to use the RequestProcessor API ? That way the default Lookup (and connection to the appropriate LSP client) will be transferred to the `supplier` thread.,                CompletableFuture.supplyAsync(supplier).thenAccept(t -> {,0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,Add a UT?,public class RangeUtils {,0
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""field"" is nullable here.",minor: can we reuse `expressionFieldPath` instead of obtaining `ref().name()` again? ,      caseSensitive ? struct.field(ref().name()) : struct.caseInsensitiveField(ref().name());,0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,"This class is also a bit suspicious, as is the adjacent test.",public class SnippetDoc {,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,do we have a tracking ticket for this? ,  // TODO replace w/ DateTimeFormatter,1
Unused assignments should be removed,"Remove this useless assignment to local variable ""attemptCount"".",Would be better to use `RetryPolicy` to implement the retry logic.,      while (attemptCount++ < this.retryCount) {,0
"""catch"" clauses should do more than rethrow",Add logic to this catch clause or eliminate it and rethrow the exception automatically.,May package this exception to a tsfile exception.,        throw e;,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Unable to read the footer of the avro file: "" 3 times.","Avro doesn't actually have footers, I believe this method does something else ... I can't remember what. But I think we can have the message just be ""Unable to read Avro file: "" ....
","      throw new RuntimeException(""Unable to read the footer of the avro file: "" +",0
Raw types should not be used,Provide the parametrized type for this generic.,What's this for?,        LinkedList<List<Comparable>> infos = new LinkedList<List<Comparable>>();,0
Raw types should not be used,Provide the parametrized type for this generic.,"I didn't see any particular usage of this method, all implementations of this interface return the class itself, just to get the implemented class, I think this method is no needed actually ","    /**
MethodDeclaration      * @return Config to host parameters, all static fields set based on the config variable name.
MethodDeclaration      */
MethodDeclaration     Class config();",0
"""ThreadLocal"" variables should be cleaned up when no longer used","Call ""remove()"" on ""bytes"".",At one point would multiple threads access the same writer? Does this truly need to be a `ThreadLocal`?,    private final ThreadLocal<byte[]> bytes;,0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,remove unused code here,//  },1
"Unused ""private"" methods should be removed","Remove this unused private ""validateFilesInPartition"" method.",could we remove `validateFilesInPartition` ?,"  private void validateFilesInPartition(HoodieTableFileSystemView metaFsView, HoodieTableFileSystemView fsView, String partitionPath) {",1
Local variables should not shadow class fields,"Rename ""table"" which hides the field declared at line 49.",Should we use `TableIf` here?,                Table table = (Table) parent.getTable();,0
Lambdas containing only one statement should not nest this statement in a block,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),"You need to handle the case where error != null here. In that case I believe locs will be null, and you'll get an NPE below.  Can you add a test for this?

Also, I think the convention in the async client is to use FutureUtils.addListener. The benefit there is it will also handle catching any errors thrown by your own callback.","        .whenComplete((locs, error) -> {",0
"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",Replace this if-then-else statement by a single return statement.,      return seqStatistics.getEndTime() > unseqStatistics.getEndTime();,"      if (seqStatistics.getEndTime() > unseqStatistics.getEndTime()) {
ReturnStmt         return true;
ReturnStmt       }
ReturnStmt       return false;",1
Static non-final field names should comply with a naming convention,"Rename this field ""bdbje_lock_timeout_second"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Is 1 second enough for most cases?,    public static int bdbje_lock_timeout_second = 1;,0
"Fields in a ""Serializable"" class should either be transient or serializable","Make ""partitionAwarenessMapperFactory"" transient or serializable.","Let's avoid generic functional interfaces in public APIs. Please create dedicated interfaces - `PartitionAwaranessMapperFactory`, `PartitionAwarenessMapper`.","    private BiFunction<String, Integer, ToIntFunction<Object>> partitionAwarenessMapperFactory;",0
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""newKafkaOffsets"" is nullable here.",This will cause a NullPointerException on line 345.,"    Map<TopicPartition, OffsetAndMetadata> offsets = null;",1
"Mutable fields should not be ""public static""","Make this member ""protected"".","I still have performance concerns for these naming match. You should set a explicit instrumentation for get parameter, rather than using string match.
Instrumentation name match filter happens in startup amd class loading stage.",    public static final Set<String> PS_SETTERS = new HashSet<String>(Arrays.asList(,0
URIs should not be hardcoded,Refactor your code to get this URI from a customizable parameter.,"Dude, this should be removed from the code :)","        .dumpClassFilesTo(new File(""C:\\test"").toPath());",1
Field names should comply with a naming convention,"Rename this field ""_result"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",_results?,  private double[] _result;,0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"technicaly the exception here would be, cannot retrieve specs from <start> to <start + count> from Spec stores","      throw new RuntimeException(""Cannot retrieve all specs from Spec stores"", e);",0
"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",Replace this if-then-else statement by a single return statement.,"nit: Do we need to use `Objects.nonNull(e)`? Maybe I am old fashioned but should `e != null` suffice?

Thanks,
Peter",    if (Objects.nonNull(e) && e instanceof MetaException &&,0
Unnecessary imports should be removed,Remove this unused import 'org.apache.iotdb.db.exception.ConfigAdjusterException'.,unused,import org.apache.iotdb.db.exception.ConfigAdjusterException;,1
"Unused ""private"" fields should be removed","Remove this unused ""LOG"" private field.",    private static final Logger LOG = LogManager.getLogger(AnalyzeStmt.class);,    private static final Logger LOG = LogManager.getLogger(CreateRoutineLoadStmt.class);,0
"Unused ""private"" fields should be removed","Remove this unused ""scopeType"" private field.","*[MissingOverride](https://errorprone.info/bugpattern/MissingOverride):*  getScopeType implements method in EntityDescription; expected @Override


    private final ScopeType @Override scopeType = ScopeType.PROCESS_RELATION;



Reply with *""**@sonatype-lift help**""* for info about LiftBot commands.
Reply with *""**@sonatype-lift ignore**""* to tell LiftBot to leave out the above finding from this PR.
Reply with *""**@sonatype-lift ignoreall**""* to tell LiftBot to leave out all the findings from this PR and from the status bar in Github.

When talking to LiftBot, you need to **refresh** the page to see its response. [Click here](https://help.sonatype.com/lift/talking-to-lift) to get to know more about LiftBot commands.

---

Was this a good recommendation?
[ [? Not relevant](https://www.sonatype.com/lift-comment-rating?comment=290409302&lift_comment_rating=1) ] - [ [? Won't fix](https://www.sonatype.com/lift-comment-rating?comment=290409302&lift_comment_rating=2) ] - [ [? Not critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=290409302&lift_comment_rating=3) ] - [ [? Critical, will fix](https://www.sonatype.com/lift-comment-rating?comment=290409302&lift_comment_rating=4) ] - [ [? Critical, fixing now](https://www.sonatype.com/lift-comment-rating?comment=290409302&lift_comment_rating=5) ]",    private final ScopeType scopeType = ScopeType.PROCESS_RELATION;,0
Deprecated code should be removed,Do not forget to remove this deprecated code someday.,use a default method here to call `unassign(b[])` so that our various implementations can skip including the same.,"  void unassign(byte[] regionName, boolean force) throws IOException;",0
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,"I don't think you should remove the old examples unless they are incorrect, you should only add the new ones.","      System.out.println(""Cost Time: "" + (endTime - startTime));",0
Redundant casts should not be used,"Remove this unnecessary cast to ""PropertyChangeListener"".",                java.beans.PropertyChangeListener pcl = listeners.get(i);,                java.beans.PropertyChangeListener pcl = (PropertyChangeListener)listeners.get(i);,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,pls comment in English,        // todo 需要判断 header /data/trailers 发送状态 避免异常时发送重复stream导致h2 error,0
"""public static"" fields should be constant","Make this ""public static SNAPSHOT_SEND_CHANNEL_SIZE"" field final",`SEND` -> `TRANSPORT`,        public static int SNAPSHOT_SEND_CHANNEL_SIZE = 2;,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"This compilation check is only to figure out if the flow should be persisted in the flow catalog or not, right? In that case, quota check is not required, correct?",      //todo: do we check quota here? or in compiler? Quota manager need dag to check quota which is not accessable from this class,0
"Classes from ""sun.*"" packages should not be used",Use classes from the Java API instead of Sun classes.,Wrong import,import com.sun.istack.internal.NotNull;,1
"Unused ""private"" fields should be removed","Remove this unused ""WRONG_TYPE_MESSAGE"" private field.",Remove it since it is useless :D,  private final String WRONG_TYPE_MESSAGE =,1
"""throws"" declarations should not be superfluous","Remove the declaration of thrown exception 'java.io.IOException', as it cannot be thrown from method's body.",serializedAuditCountMap?,"      Map<String, String> offsetRange, OperationType operationType, SchemaSource schemaSource, String serializedAuditMap) throws IOException {",0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"Netty already provide this mechanism, each handler context has its own ByteBuf allocator
See
https://netty.io/4.1/api/io/netty/channel/ChannelHandlerContext.html#alloc--

",    private byte[] data = new byte[4]; // TODO: Pooled buffers IGNITE-15162.,0
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,TODO remove these system outs,"    System.out.println(""eventsUrl: "" + eventsUrl);",1
"""public static"" fields should be constant","Make this ""public static PARALLELS_THREAD_COUNT"" field final",`PARALLELS_THREAD_COUNT` -> `MAX_PARALLEL`,        public static int PARALLELS_THREAD_COUNT = 5;,0
Unused method parameters should be removed,"Remove this unused method parameter ""input"".",Shouldn't it break any unit test that address [distributeDataStream](https://github.com/apache/iceberg/pull/2886/files#diff-a26cb8b3f0f5b0e6a9f110bb0b3fdd0ed625bfc9faf27e248f6446818cad4d69R255) logic  ?  I see we did not use the `input` data stream  when chain the iceberg writers into the stream..,"    private SingleOutputStreamOperator<WriteResult> appendWriter(DataStream<RowData> input, RowType flinkRowType) {",1
Field names should comply with a naming convention,"Rename this field ""_channelClass"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",It’s better not to use raw types even if you make it a wildcard because it causes IDE warnings.,  private Class _channelClass;,0
"Instance methods should not write to ""static"" fields","Make the enclosing method ""static"" or remove this set.",you can move the variable to before method ,        isRegister = false;,0
Raw types should not be used,Provide the parametrized type for this generic.,I think `LinkedList` is better choice for performance.,        List result = new ArrayList();,0
Field names should comply with a naming convention,"Rename this field ""_inSegmentResultLimit"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","`_inSegmentResultLimit` and `_enableSegmentGroupTrim` can be combined into `_trimSize`, and use negative value to denote that trim is off",  private final int _inSegmentResultLimit;,0
Math operands should be cast before assignment,"Cast one of the operands of this multiplication operation to a ""double"".","Devision of these two long value `idleCpuTime` and `totalCpuTime` is either 0 or 1. If you want to get double result, you can try to first parse long values to double values.",				return Double.valueOf(100 * (1 - idleCpuTime / totalCpuTime)).doubleValue();,1
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""segmentURI"" is nullable here.","We should attempt to get metadata from the multi-part in this method as well. That way, we can add the server code to send multi-part form with metadata and everything will work. If metadata is not present in multi-part then we need to extract from local.
You can add this as a separate PR before moving on to other parts, or add it now, your choice.","        segmentMetadata = extractMetadataFromLocalSegmentFile(segmentName, segmentURI.getPath());",0
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,Use en instead of cn,"                        System.out.printf(""生产者组(%s)实例数为空\n"", group);",0
Field names should comply with a naming convention,"Rename this field ""_childDocIdIterator"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Make `_childDocIdIterator` and `_numDocs` final,  private BlockDocIdIterator _childDocIdIterator;,0
"Boxed ""Boolean"" should be avoided in boolean expressions",Use the primitive boolean expression here.,seems like this should be `1l:0l` instead of `1L : 0L` to avoid unnecessary type conversion?,      return ((Boolean) value) ? 1L : 0L;,1
Modifiers should be declared in the correct order,Reorder the modifiers to comply with the Java Language Specification.,"Same question for this scheduler. The task should only start after the prev one finished, right? If so, why two schedulers?","    private final static ScheduledExecutorService PROFILE_TASK_FINISH_SCHEDULE = Executors.newScheduledThreadPool(2, new DefaultNamedThreadFactory(""PROFILE-TASK-FINISH-SHCEDULE""));",0
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,no need,"        System.out.println(""Error"");",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Error happened while getting {} size"" 6 times.",?,"      logger.error(""Error happened while getting {} size"", filePath);",0
Constant names should comply with a naming convention,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,    public static final int VERSION_61 = 61;,    public static final int Version_61 = 61;,0
Modifiers should be declared in the correct order,Reorder the modifiers to comply with the Java Language Specification.,This doesn't need to be static. There is just one instance of ConstructorConstructor in Gson,  private final static ReflectionAccessor accessor = ReflectionAccessUtils.getReflectionAccessor();,0
"""throws"" declarations should not be superfluous","Remove the declaration of thrown exception 'java.io.IOException', as it cannot be thrown from constructor's body.",Now we dont have to keep this throws IOE at this constructor.  So below catch stuff in CustomizedScanInfoBuilder also can be avoided.,  public ImmutableScan(Scan scan) throws IOException {,0
Lambdas should be replaced with method references,Replace this lambda with a method reference. (sonar.java.source not set. Assuming 8 or greater.),"nit: please remove the extra space bet ""("" and add a space after ""k,""","        _headers.forEach( (k,v) -> request.addHeader(k, v));",0
Asserts should not be used to check the parameters of a public method,Replace this assert with a proper check.,I see the same assertion above. Is it really needed here ?,"                }
AssertStmt                 assert aff.assignments(topVer).equals(aff.idealAssignmentRaw()) :
BinaryExpr                     ""Not an ideal final distribution on LAA [grp="" + aff.cacheOrGroupName() + "", lastAffinity="" +
MethodCallExpr                         aff.lastVersion() + ""]"";",1
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,I wonder if this could be an Enum instead,public class DetectionTags {,0
Boolean literals should not be redundant,Remove the unnecessary boolean literal.,"This can throw an exception if someone puts in an invalid value (eg. `useStarTree=foo`)
",    return (useStarTreeString != null) ? Boolean.valueOf(useStarTreeString) : true;,0
"Unused ""private"" fields should be removed","Remove this unused ""syncBulkActions"" private field.","Why put this in 10k? Is there any testing, which could prove this provides better performance?",    private int syncBulkActions = 10000;,0
Unnecessary imports should be removed,Remove this unused import 'java.util.Arrays'.,Unused import,import java.util.Arrays;,1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,Don't need the TODO anymore?,  private TransferStore transferStore; // TODO(olsona): use transferStore,1
"Non-primitive fields should not be ""volatile""","Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe.",No need to be volatile since it's always fetched synchronized,"  private volatile Pair<String, Integer> _controllerLeaderHostPort = null;",1
"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",Replace this if-then-else statement by a single return statement.,return values.equals(get(dictId)),    if (value.equals(get(dictId))) {,1
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,Nit: remove trailing whitespace.,                                     padding:kSecPaddingPKCS1SHA256];  ,0
Redundant casts should not be used,"Remove this unnecessary cast to ""PrivilegedExceptionAction"".",why is this needed now?,            AccessController.doPrivileged((PrivilegedExceptionAction<?>)() -> {,1
Redundant casts should not be used,"Remove this unnecessary cast to ""PropertyChangeListener"".",                java.beans.PropertyChangeListener pcl = listeners.get(i);,                java.beans.PropertyChangeListener pcl = (PropertyChangeListener)listeners.get(i);,1
Field names should comply with a naming convention,"Rename this field ""_realtimeHLCRoutingTableBuilder"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","Would be better to not have the external view based routing not aware of the fact that there are HLC and LLC implementations. A better way to do it would be to have a `RoutingTable` implementation that merges the output of an offline routing table and a realtime routing table, with the realtime routing table being aware of the fact that there is both an hlc and llc one.
",  private final RoutingTableBuilder _realtimeHLCRoutingTableBuilder;,0
"""InterruptedException"" should not be ignored","Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",What is this sleep for?,        TimeUnit.SECONDS.sleep(15);,0
"""public static"" fields should be constant","Make this ""public static enable_odbc_table"" field final",Add this config to FE config doc.,    public static boolean enable_odbc_table = false;,0
"""StandardCharsets"" constants should be preferred",Replace charset name argument with StandardCharsets.UTF_8,"      properties.load(new InputStreamReader(inputStream, TSFILEConfig.STRING_ENCODING));","      properties.load(new InputStreamReader(inputStream, ""utf-8""));",0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,Don't leave commented codes~,"      // logger.info(""Usage: <node-ids>, split with ':'"");",1
Abstract classes without fields should be converted to interfaces,"Convert the abstract class ""PinotCrypter"" into an interface. (sonar.java.source not set. Assuming 8 or greater.)",This should be an interface not abstract class.,public abstract class PinotCrypter {,1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"Submit an issue for @chidaodezhongsheng , please.",                //TODO linjiaqi operation name was changed to contains multiple values,1
"Collapsible ""if"" statements should be merged",Merge this if statement with the enclosing one.,"for scheduled AND runImmediately flows, seems we would only `scheduleJob()` when quota finds it permitted to run immediately (right now).  are those semantics intended?","    if (!jobConfig.containsKey(ConfigurationKeys.JOB_SCHEDULE_KEY) || PropertiesUtils.getPropAsBoolean(jobConfig, ConfigurationKeys.FLOW_RUN_IMMEDIATELY, ""false"")) {",0
"Unused ""private"" fields should be removed","Remove this unused ""DIMENSIONS_SPLIT_ORDER_PARAM"" private field.",do we need all these constants if we are using jackson?,"  private static final String DIMENSIONS_SPLIT_ORDER_PARAM = ""dimensionsSplitOrder"";",1
Delivering code in production with debug features activated is security-sensitive,Make sure this debug feature is deactivated before delivering the code in production.,Log or throw exception,            e.printStackTrace();,1
Constants should not be defined in interfaces,Move constants defined in this interfaces to another class or enum.,I think we would better set a reasonable default value. one hour is enough for most cases.,    int DORIS_REQUEST_QUERY_TIMEOUT_S_DEFAULT = -1;,0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,What is this exactly? Can we simply remove this line?,"//        clusterNetSvc.messagingService().addMessageHandler((message, senderAddr, correlationId) -> {});",1
Local variables should not be declared and then immediately returned or thrown,"Immediately return this expression instead of assigning it to the temporary variable ""ret"".",when runningMode will be null?,"      String runningMode = cfg.runningMode == null ? """" : cfg.runningMode.toLowerCase();",0
Static non-final field names should comply with a naming convention,"Rename this field ""INVOKER"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",remove static will be better. make it not global.,    private static Invoker<Object> INVOKER = new Invoker<Object>() {,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Namespace does not exist: %s"" 8 times.",This violates the method contract. This should return `false` because the namespace did not exist.,"      throw new NoSuchNamespaceException(""Namespace does not exist: %s"", namespace);",0
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".","can this be an interface instead of an abstract class?
",public abstract class JobLock implements Closeable {,1
Unused method parameters should be removed,"Remove this unused method parameter ""includeProperties"".","Is it intentional that you are not using `includeJobProperties`?
","  private JobExecutionInfo queryByJobId(String id, boolean includeProperties) {",1
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,All these config values should be configurable.,public class CacheConfig {,0
Field names should comply with a naming convention,"Rename this field ""_isThrottlingAllowed"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",volatile?,  private boolean _isThrottlingAllowed = false;,0
Modifiers should be declared in the correct order,Reorder the modifiers to comply with the Java Language Specification.,The job properties maybe could be modified in here instead of the subclass  `KafkaRoutineLoad`.,    abstract public void modifyProperties(AlterRoutineLoadStmt stmt) throws DdlException;,0
Constant names should comply with a naming convention,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,nit: static variable should be above all other non-static ones,"  private static final String digestAlgorithm = ""MD5"";",0
Raw types should not be used,Provide the parametrized type for this generic.,Let's use `List<SparkCommand>`?,"    List masterContained = Arrays.asList(SparkCommand.COMPACT_VALIDATE, SparkCommand.COMPACT_REPAIR,",1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,@jnturton Could you please create a JIRA for this an reference it here?,    // TODO: why do we hard code this when we provide {@link ExecConstants.SSL_HANDSHAKE_TIMEOUT}?,1
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,"Hi, according to previous design, `checkBufferedArray` is to be done by `ArrayManager` module.

When TSP is asking for one array, it could call `ArrayManager.getDataListByType` (and it is the only interface for asking array). This method will check whether there are enough buffered arrays and return one if true; or apply an out of buffer array and return one if system module agrees; or return null if system module refuses to offer one.

In this way, TSP does not need to know whether the array is buffered or out of buffer. The management of arrays is responsibility of `ArrayManager`. What do you think?",      // TODO: isbufferedArrayEnough = checkBufferedArray();,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"What stops working if the sec group is made restrictive?
",    // TODO: Make security group restrictive,0
Math operands should be cast before assignment,"Cast one of the operands of this multiplication operation to a ""long"".",Sync timer checkpoint every 3 seconds and syncAll every 60 seconds?,"                }, 1000 * 10, 3 * 1000, TimeUnit.MILLISECONDS);",0
Abstract classes without fields should be converted to interfaces,"Convert the abstract class ""HoodieData"" into an interface. (sonar.java.source not set. Assuming 8 or greater.)",Glad to see that we toward a simpler direction. HoodieData contains some operation APIs. WDYT about those similar operation APIs exists in `HoodieEngineContext`? Will we remove them and make  `HoodieEngineContext` to be a pure context object?,public abstract class HoodieData<T> implements Serializable {,0
Empty arrays and collections should be returned instead of null,Return an empty collection instead of null.,"If not success, shall we throw an exception or return a failure TSStatus?","    if (resp.getStatus().getCode() == TSStatusCode.SUCCESS_STATUS.getStatusCode()) {
ReturnStmt       return resp.getPathList();
ReturnStmt     }
ReturnStmt     return null;",0
Field names should comply with a naming convention,"Rename this field ""_timeColumnSpec"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",We may store the `_timeColumnName` and `_timeFormatSpec` for better performance,  private DateTimeFieldSpec _timeColumnSpec;,0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,Calling this config is a bit misleading.. these are just constants,public final class HoodieRealtimeConfig {,0
Local variable and method parameter names should comply with a naming convention,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,why var names in all caps?,"  SegmentSizeRecommendations estimate(long GSS, int DSS, int NRGS, long NRPP) {",1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"I think this is okay for now to get this in with tests. Thanks, @huaxingao!",        // Todo: The following code needs to be improved in the bloom filter write path PR.,0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,Maybe `ServerMessageType` then?,"/**
ClassOrInterfaceDeclaration  * Server to client message types.
ClassOrInterfaceDeclaration  */
ClassOrInterfaceDeclaration public class ClientMessageType {",0
"Unused ""private"" fields should be removed","Remove this unused ""url"" private field.","Take a look at application.yml, I am feeling this will be overrided, and make no effect.","    private String url = ""jdbc:h2:mem:skywalking-oap-db;DB_CLOSE_DELAY=-1"";",0
Unused local variables should be removed,"Remove this unused ""renamed"" local variable.",This does not seem to be used. Please remove.,      boolean renamed;,1
Generic wildcard types should not be used in return types,Remove usage of generic wildcard type.,"no one use return result from this func, may it would be be more clear to change implementation to void ?","    @Nullable public GridCacheContext<?, ?> prepareCacheStop(",0
"""public static"" fields should be constant","Make this ""public static yarn_client_path"" field final",@ConfField,"    public static String yarn_client_path = PaloFe.DORIS_HOME_DIR + ""/lib/yarn-client/hadoop/bin/yarn"";",0
Boolean expressions should not be gratuitous,"Remove this expression which always evaluates to ""true""",why not just write as `if (processQueue == null || processQueue.isDropped())` ? This is more concise,                if ((null == processQueue) || (processQueue != null && processQueue.isDropped())) {,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""count"" 3 times.","Can we use `Measurements`, which already have the name defined?
","    metrics.add(serializeValue(name, meter.getCount(), ""count""));",0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,what does better logic mean?,    // TODO: better logic (v2),1
